sets,result,averaging,vol_cors,open_cors,vol_avg1,vol_std1,vol_avg2,vol_std2,open_avg1,open_std1,open_avg2,open_avg2
"['DD', 'NWSA']",-2.84,-0.9,0.470965183,0.249812173,3298366.751,6004960.565,2337617.527,3162375.777,17.82752911,66.71620274,2.062300759,14.28338073
"['KMB', 'NTRS']",13.41,18.97,0.69505312,0.860166673,995254.09,2021621.753,686019.0633,1305146.841,23.79828656,108.5849415,20.11722965,72.54433848
"['ECL', 'MAR']",6.53,-9.7,0.640733291,0.92637204,1547117.287,1378707.628,1974743.566,2910340.091,45.4220588,120.0523678,36.17497163,78.69097206
"['F', 'MRO']",2.3,-86.26,0.668787714,0.86344085,26723830.93,44745389.27,11737000.86,13144439.3,2.995923365,12.16272548,9.886522899,21.74691049
"['LLY', 'BKNG']",19.18,22.01,0.611874647,0.887935666,4846421.696,5433395.391,446959.635,665490.0278,33.18123341,79.12962256,517.5299598,1314.742288
"['MTB', 'AMGN']",-15.07,11.01,0.60763466,0.834458122,424576.8085,832922.646,2345544.647,3820811.204,31.47116662,125.6040962,53.62489617,146.7706317
"['FTNT', 'INFO']",54.95,25.6,0.484452778,0.847540946,1701996.779,1997425.387,2136537.211,1723992.532,32.90508462,46.90900876,17.98973158,46.98308441
"['PYPL', 'CINF']",-4.08,15.81,0.528255163,0.958899809,4557774.516,8428286.282,540847.4023,763267.4613,47.71127464,83.89056808,21.67439887,61.52994436
"['ATO', 'ORCL']",29.72,17.79,0.495986496,0.959714801,743949.8005,585242.4315,12023416.62,18288849.62,26.24912723,66.70780681,8.865178742,41.86280098
"['DISCA', 'APD']",-19.44,24.22,0.528766321,0.382370608,2093228.266,3732883.275,824115.4084,1305785.579,6.713719318,28.9070342,56.0167134,140.5791585
"['GPC', 'DG']",34.33,17.47,0.51275611,0.790808974,448285.9394,820487.0481,2848078.375,3047256.337,15.72004303,84.77046483,45.05756597,84.88856968
"['TWTR', 'MMC']",4.97,17.5,0.513222981,0.469512676,16112297.95,21641754.94,1169772.956,2242876.798,11.69303517,32.08075557,26.09907204,64.13561783
"['FE', 'CMS']",31.99,32.01,0.554383942,0.437964353,3732819.143,4062863.806,1106545.618,2392592.332,5.726450889,37.43717124,13.83946429,38.87331745
"['NEM', 'IR']",20.49,5.3,0.542416495,0.316758718,3782411.463,7461306.039,2334263.628,1878874.046,13.55812155,38.64837112,5.39715777,30.17788431
"['ITW', 'VIAC']",19.65,10.56,0.413736852,0.404538413,1158588.002,1935037.743,5541904.871,11630220.66,43.95267645,108.9640127,7.983816732,27.66771211
"['V', 'IBM']",42.02,11.79,0.612987412,0.105464906,7674566.174,11245979.82,2504139.117,4605454.271,55.98273251,89.30420546,25.36213378,161.2093684
"['LIN', 'MOS']",18.97,-3.84,0.561586454,0.164024234,1579652.382,1537711.681,2886185.001,4679344.14,38.63192485,138.2570282,16.79337605,38.54641634
"['ABBV', 'LOW']",5.53,-7.52,0.493658735,0.911085538,5562427.717,8033613.102,5036573.03,7438240.564,18.72221903,70.4076178,35.04562892,71.0966507
"['MGM', 'ALK']",-57.79,-73.1,0.645740381,0.896443055,8435331.785,11185313.67,1096000.78,1665459.754,7.277770059,22.08430672,23.48693082,50.84938519
"['HIG', 'EW']",15.24,11.33,0.596605258,0.836469578,2679677.419,3771253.874,4927151.048,5613179.142,12.33722479,39.70462852,22.26563951,33.82888886
"['ROL', 'PPG']",-3.47,41.59,0.506100637,0.859040329,1509418.438,1156731.743,1487745.28,1847283.234,8.733654157,15.1531644,26.46015508,93.18014911
"['STT', 'SPG']",-62.81,-43.58,0.535679278,0.690376573,1498420.753,2840393.127,1905125.936,1987230.514,16.85805386,66.61300359,36.61627678,152.97295
"['CTVA', 'WEC']",-7.41,2.81,0.501444722,0.821018517,2915641.206,5107569.458,740721.4288,1678783.79,3.772327118,28.67766012,19.66125941,57.06398889
"['LRCX', 'LHX']",-6.1,36,0.542544561,0.950071802,1473438.383,2419528.844,582315.0904,970494.9543,94.4387159,123.1696504,54.40836422,102.3675247
"['DIS', 'PKG']",44.93,32.57,0.5264967,0.938807036,5988319.064,9201194.239,670168.2832,897658.5618,31.7534765,90.942805,30.72438273,74.02143027
"['TMO', 'RE']",20.31,29.58,0.596458053,0.878159371,1070899.44,1905545.61,218106.9364,341078.6651,101.6837301,165.3665673,56.41644652,178.1944536
"['HAL', 'JCI']",45.75,-15.5,0.585175336,0.613158187,6885200.979,12373811.48,3824035.597,4895763.7,13.12733224,39.22013112,6.972454128,36.85613168
"['CLX', 'ESS']",10.81,4.8,0.555680151,0.882193453,805381.6553,1127296.742,410843.3572,371587.8824,40.04353698,118.1184227,53.11520567,209.1444895
"['AEP', 'MCHP']",12.93,24.89,0.568247238,0.944224732,1456311.909,2945640.246,1685198.501,2410585.697,17.13128148,61.18739371,25.82657102,61.4798133
"['COG', 'LRCX']",18.02,28.64,0.575856173,0.348211915,3604812.514,6526959.913,1473438.383,2419528.844,6.787093902,24.18179877,94.4387159,123.1696504
"['GE', 'SPG']",-101.87,-72.11,0.690769289,0.793463621,41792420.59,58870596.51,1905125.936,1987230.514,7.229868715,19.53245039,36.61627678,152.97295
"['DD', 'KLAC']",24.17,45.46,0.613380119,0.617828754,3298366.751,6004960.565,1146598.379,1760415.256,17.82752911,66.71620274,45.78533765,87.77655938
"['FLIR', 'CTSH']",-12.31,5.14,0.554935828,0.882135945,713398.239,1059518.911,3157910.072,4412792.213,10.23174147,35.8563091,14.84351091,54.76297775
